City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Cidreira,BR,2021-04-18 16:02:13,-30.1811,-50.2056,73.53,76,15,10.04
156,Saint-Philippe,RE,2021-04-18 16:02:13,-21.3585,55.7679,77.0,69,90,11.5
157,Ende,ID,2021-04-18 16:02:14,-8.8432,121.6623,77.18,82,100,3.4
158,Tuktoyaktuk,CA,2021-04-18 16:02:14,69.4541,-133.0374,14.0,92,20,4.61
159,Lavrentiya,RU,2021-04-18 16:02:15,65.5833,-171.0,15.19,98,95,2.33
160,Makakilo City,US,2021-04-18 15:58:08,21.3469,-158.0858,69.8,77,1,4.61
161,Kindu,CD,2021-04-18 16:02:15,-2.95,25.95,75.6,91,100,2.59
162,Srem,PL,2021-04-18 16:02:15,52.0887,17.0151,55.99,62,75,9.22
163,Digapahandi,IN,2021-04-18 16:02:16,19.3667,84.5833,83.46,58,12,4.54
164,Thompson,CA,2021-04-18 16:00:11,55.7435,-97.8558,19.4,58,20,10.36
165,Sabang,ID,2021-04-18 16:02:16,5.8933,95.3214,84.27,72,58,14.65
166,Tura,IN,2021-04-18 16:02:16,25.5198,90.2201,69.31,67,61,3.94
167,Hauknes,NO,2021-04-18 16:02:17,66.2833,14.0667,55.4,38,0,4.61
168,Fortuna,US,2021-04-18 16:02:17,40.5982,-124.1573,44.6,100,1,2.59
169,Amga,RU,2021-04-18 16:02:17,60.8953,131.9608,22.48,85,100,8.19
170,Codrington,AU,2021-04-18 16:02:18,-38.2667,141.9667,53.4,91,76,8.68
171,Upernavik,GL,2021-04-18 16:02:18,72.7868,-56.1549,11.26,74,100,0.78
172,Yar,RU,2021-04-18 16:02:18,58.249,52.1026,34.21,62,23,10.27
173,Kloulklubed,PW,2021-04-18 16:02:19,7.0419,134.2556,78.8,89,75,6.91
174,Vila Franca Do Campo,PT,2021-04-18 16:02:19,37.7167,-25.4333,64.4,88,40,12.66
175,Kruisfontein,ZA,2021-04-18 16:02:20,-34.0033,24.7314,73.0,38,0,2.91
176,Acapulco,MX,2021-04-18 16:02:01,16.8634,-99.8901,80.6,69,20,3.8
177,Provideniya,RU,2021-04-18 16:02:20,64.3833,-173.3,26.22,94,99,2.93
178,Haines Junction,CA,2021-04-18 16:02:20,60.7522,-137.5108,24.8,80,100,1.14
179,Hakodate,JP,2021-04-18 16:02:21,41.7758,140.7367,42.98,76,100,16.22
180,Ilulissat,GL,2021-04-18 16:02:21,69.2167,-51.1,10.4,52,99,6.91
181,Narsaq,GL,2021-04-18 16:02:22,60.9167,-46.05,30.2,31,27,5.75
182,Dunkwa,GH,2021-04-18 16:02:22,5.9656,-1.78,93.29,44,100,2.37
183,Tokur,RU,2021-04-18 16:02:23,53.1333,132.9,24.96,91,0,2.26
184,Srednekolymsk,RU,2021-04-18 16:02:23,67.45,153.6833,15.53,87,91,15.26
185,Oktyabrskoye,RU,2021-04-18 16:02:23,43.0645,44.7417,55.4,76,92,6.71
186,Faya,SA,2021-04-18 16:02:24,18.3851,42.4509,75.2,40,75,6.91
187,Saint-Leu,RE,2021-04-18 16:02:24,-21.15,55.2833,77.0,69,90,11.5
188,Chardara,KZ,2021-04-18 16:02:24,41.2547,67.9692,68.27,39,51,7.52
189,Cairns,AU,2021-04-18 16:02:25,-16.9167,145.7667,75.2,94,90,9.22
190,Port Elizabeth,ZA,2021-04-18 16:02:26,-33.918,25.5701,78.8,29,0,8.05
191,Tongliao,CN,2021-04-18 16:02:26,43.6125,122.2653,54.41,21,38,10.83
192,Curanilahue,CL,2021-04-18 16:02:26,-37.4667,-73.35,66.2,47,59,5.19
193,Volnovakha,UA,2021-04-18 16:02:27,47.601,37.4967,48.99,100,99,1.99
194,Bethel,US,2021-04-18 16:02:27,41.3712,-73.414,57.99,47,20,9.22
195,Lakes Entrance,AU,2021-04-18 16:02:27,-37.8811,147.981,46.99,93,2,5.35
196,Puerto Escondido,MX,2021-04-18 16:01:25,15.85,-97.0667,82.4,89,1,4.61
197,Nelson Bay,AU,2021-04-18 16:02:28,-32.7167,152.15,53.6,100,90,5.75
198,Fukue,JP,2021-04-18 16:01:10,32.6881,128.8419,56.39,53,94,15.28
199,Kristiinankaupunki,FI,2021-04-18 16:02:28,62.2743,21.376,45.93,69,9,7.07
200,Mackenzie,CA,2021-04-18 16:02:29,55.2999,-123.1698,39.2,52,1,13.8
201,Dewas,IN,2021-04-18 16:02:29,22.9667,76.0667,86.0,16,36,3.44
202,Mogzon,RU,2021-04-18 16:02:29,51.7435,111.9606,20.7,48,0,2.64
203,Arlit,NE,2021-04-18 16:00:49,18.7369,7.3853,105.15,3,100,7.74
204,Sulangan,PH,2021-04-18 16:02:30,11.1373,123.7228,82.62,75,100,28.41
205,Isangel,VU,2021-04-18 16:02:30,-19.55,169.2667,77.32,86,31,8.25
206,Buluang,PH,2021-04-18 16:02:31,13.3068,123.3425,76.12,92,100,17.6
207,Kondinskoye,RU,2021-04-18 16:02:31,59.6481,67.41,19.71,57,81,10.83
208,Corning,US,2021-04-18 16:02:31,42.1428,-77.0547,55.4,54,20,6.91
209,Balkanabat,TM,2021-04-18 16:02:31,39.5108,54.3671,81.43,16,96,3.33
210,Manoharpur,IN,2021-04-18 16:02:32,27.3,75.95,89.6,29,20,3.44
211,Lashio,MM,2021-04-18 16:02:32,22.9333,97.75,70.25,47,27,0.94
212,Magistralnyy,RU,2021-04-18 16:02:33,56.1725,107.4458,19.65,89,100,1.86
213,Deblin,PL,2021-04-18 16:02:33,51.5591,21.8483,55.0,45,100,6.31
214,Bonavista,CA,2021-04-18 16:02:33,48.6499,-53.1147,37.4,100,100,4.61
215,Balabac,PH,2021-04-18 16:02:34,7.9868,117.0645,80.82,78,100,16.78
216,Longyearbyen,SJ,2021-04-18 16:02:06,78.2186,15.6401,30.2,80,75,16.11
217,Whitehorse,CA,2021-04-18 16:02:34,60.7161,-135.0538,28.4,69,1,2.3
218,Dunedin,NZ,2021-04-18 16:02:15,-45.8742,170.5036,55.99,65,100,4.0
219,Taywarah,AF,2021-04-18 16:02:35,33.35,64.4167,51.93,16,99,2.42
220,Opuwo,NA,2021-04-18 16:02:35,-18.0607,13.84,83.89,27,21,9.48
221,Wilmington,US,2021-04-18 16:02:35,34.2257,-77.9447,73.0,56,20,6.91
222,Dawei,MM,2021-04-18 16:02:36,14.0833,98.2,76.68,86,62,2.53
223,Mackay,AU,2021-04-18 16:02:36,-21.15,149.2,71.6,88,75,6.91
224,Chokurdakh,RU,2021-04-18 16:02:36,70.6333,147.9167,12.24,91,100,18.1
225,Pisco,PE,2021-04-18 15:57:53,-13.7,-76.2167,69.8,78,70,8.05
226,Tacoronte,ES,2021-04-18 16:02:37,28.4769,-16.4102,69.01,68,20,14.97
227,Banda Aceh,ID,2021-04-18 16:02:37,5.5577,95.3222,81.63,78,43,9.6
228,Umm Kaddadah,SD,2021-04-18 16:02:37,13.6017,26.6876,93.47,4,6,8.32
229,Byron Bay,AU,2021-04-18 16:02:38,-28.65,153.6167,59.0,88,57,9.22
230,Mtimbira,TZ,2021-04-18 16:02:38,-8.7833,36.35,70.56,89,51,1.61
231,Dehloran,IR,2021-04-18 16:01:21,32.6941,47.2679,89.44,15,28,10.56
232,Magadan,RU,2021-04-18 16:02:39,59.5667,150.8,29.66,96,95,4.52
233,Seoul,KR,2021-04-18 15:58:31,37.5683,126.9778,46.4,66,0,1.14
