City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Amapa,BR,1.0,-52.0,75.54,96,82,2.93
167,Yerbogachen,RU,61.2767,108.0108,4.75,97,40,1.57
168,Jamestown,US,42.097,-79.2353,32.0,80,90,12.66
169,Mecca,SA,21.4267,39.8261,87.6,35,2,4.21
170,Longhua,CN,23.6137,114.1919,69.3,88,1,0.89
171,Lazaro Cardenas,MX,17.9583,-102.2,85.68,37,0,11.21
172,Ibra,OM,22.6906,58.5334,76.89,38,0,2.04
173,Rudnogorsk,RU,57.2639,103.7519,4.23,98,86,2.15
174,Katsuura,JP,35.1333,140.3,59.0,51,20,9.22
175,Kaabong,UG,3.4836,34.1492,65.61,79,100,5.68
176,Kamenka,RU,51.3223,42.7678,43.0,94,100,7.9
177,Huambo,AO,-12.7761,15.7392,59.32,63,2,1.1
178,Olutanga,PH,7.3106,122.8464,81.75,73,97,2.57
179,Glenwood Springs,US,39.5505,-107.3248,57.2,41,100,8.05
180,Cabo San Lucas,MX,22.8909,-109.9124,82.99,28,40,3.44
181,Makakilo City,US,21.3469,-158.0858,82.99,61,1,12.66
182,Alanya,TR,36.5438,31.9998,57.2,88,0,3.44
183,Lebu,CL,-37.6167,-73.65,55.24,79,43,17.27
184,San Cristobal,VE,7.7669,-72.225,89.6,51,40,16.11
185,Yangambi,CD,0.8102,24.4336,68.86,98,91,2.33
186,Bambanglipuro,ID,-7.95,110.2833,72.95,87,32,3.96
187,Srikakulam,IN,18.3,83.9,81.88,80,100,9.62
188,Yumen,CN,40.2833,97.2,57.87,18,96,5.08
189,Mamallapuram,IN,12.6264,80.1722,82.4,83,20,4.61
190,Newport,GB,51.5877,-2.9984,48.99,71,12,12.57
191,Camacha,PT,33.0833,-16.3333,66.2,88,75,9.22
192,Maxixe,MZ,-23.8597,35.3472,69.66,82,13,4.79
193,Road Town,VG,18.4167,-64.6167,75.2,94,40,10.36
194,Leningradskiy,RU,69.3833,178.4167,30.22,68,26,5.59
195,Klaksvik,FO,62.2266,-6.589,41.0,87,75,10.36
196,Kyshtovka,RU,56.555,76.6271,22.32,85,7,7.25
197,Shakawe,BW,-18.3667,21.85,63.36,51,1,5.95
198,Vila,PT,42.0304,-8.1588,55.99,94,75,1.14
199,Adrar,MR,20.5022,-10.0711,84.42,8,39,10.49
200,Hays,US,30.0502,-98.0336,68.0,29,13,9.84
201,Baoding,CN,38.8511,115.4903,52.99,68,100,3.11
202,Mushie,CD,-3.0167,16.9,73.98,93,76,2.39
203,Valavanur,IN,11.9209,79.5824,80.11,84,31,6.17
204,Biltine,TD,14.5333,20.9167,88.48,8,7,6.42
205,Zhangjiakou,CN,40.81,114.8794,49.6,57,100,7.07
206,Kaiyuan,CN,23.6977,103.3037,63.19,80,0,5.61
207,Sechura,PE,-5.5569,-80.8222,80.83,57,16,14.67
208,Shache,CN,38.4167,77.2406,58.41,10,28,28.07
209,Mayumba,GA,-3.432,10.6554,79.59,88,100,4.34
210,Ciprian Porumbescu,RO,47.5667,26.0667,46.99,81,0,9.22
211,Yafran,LY,32.0633,12.5286,67.08,27,1,26.44
212,Bac Lieu,VN,9.285,105.7244,81.27,81,99,8.37
213,Prizren,XK,42.2139,20.7397,51.8,46,20,16.11
214,Kyabram,AU,-36.3167,145.05,46.0,73,100,5.95
215,Hamilton,US,39.1834,-84.5333,46.4,42,75,8.05
216,Port Hardy,CA,50.6996,-127.4199,51.8,76,75,12.66
217,Roald,NO,62.5833,6.1333,37.4,75,75,6.91
218,La Rioja,ES,42.25,-2.5,59.0,63,0,11.5
219,Alta Floresta,BR,-9.8756,-56.0861,84.2,74,75,3.44
220,San Patricio,US,28.017,-97.5169,73.4,38,90,10.36
221,Gamba,GA,-2.65,10.0,79.41,87,97,4.09
222,Hambantota,LK,6.1241,81.1185,78.93,84,28,10.09
223,Yulara,AU,-25.2406,130.9889,51.8,54,0,5.75
224,Kaitangata,NZ,-46.2817,169.8464,55.99,87,86,1.99
225,Richards Bay,ZA,-28.783,32.0377,68.63,91,91,5.12
226,Souillac,MU,-20.5167,57.5167,77.0,94,40,6.91
227,Mayna,RU,54.1135,47.6231,37.36,96,100,13.09
228,Puerto Colombia,CO,10.9878,-74.9547,86.0,66,20,16.11
229,Mattru,SL,7.6244,-11.8332,77.65,92,100,3.11
230,Cervo,ES,43.6702,-7.4101,54.0,88,100,7.78
231,Biak,ID,-0.9131,122.8766,76.1,85,58,3.33
232,Magistralnyy,RU,56.1725,107.4458,13.15,92,6,3.06
233,Berlevag,NO,70.8578,29.0864,39.2,81,75,17.27
234,Farias Brito,BR,-6.9306,-39.5656,82.4,69,20,2.3
235,Quesnel,CA,52.9999,-122.5029,60.8,25,1,17.27
236,Kerouane,GN,9.2667,-9.0167,70.48,92,100,4.65
237,Machali,CL,-34.1833,-70.6667,73.4,27,40,5.75
238,Brekstad,NO,63.687,9.6654,37.99,86,40,3.44
239,Balkhash,KZ,46.844,74.9804,39.27,52,2,7.36
240,Bousso,TD,10.4795,16.7117,88.63,37,98,6.35
241,Chimbote,PE,-9.0853,-78.5783,71.53,76,13,10.6
242,Reforma,MX,18.1,-91.0167,92.68,44,91,7.18
243,Fortuna,US,40.5982,-124.1573,57.0,87,40,12.66
244,Codrington,AU,-38.2667,141.9667,52.79,84,98,9.82
245,Hualmay,PE,-11.0964,-77.6139,71.92,76,9,8.81
246,Ponta Do Sol,PT,32.6667,-17.1,64.0,74,88,3.0
247,Farafangana,MG,-22.8167,47.8333,72.07,86,82,1.57
248,Sambava,MG,-14.2667,50.1667,75.18,89,100,8.1
249,Tinskoy,RU,56.1525,96.9161,16.39,96,71,1.95
250,Lavrentiya,RU,65.5833,-171.0,30.31,62,95,1.83
251,Geraldton,AU,-28.7667,114.6,66.2,52,100,10.36
252,Nuevo Progreso,MX,23.1667,-97.95,80.01,70,55,11.99
253,Vertientes,CU,21.2594,-78.1464,86.0,62,75,17.27
254,Ler,SS,8.3018,30.1418,84.63,51,95,6.15
255,Necochea,AR,-38.5473,-58.7368,72.0,61,1,13.0
256,Provideniya,RU,64.3833,-173.3,28.4,64,0,6.71
257,Jalu,LY,29.0331,21.5482,70.79,23,50,9.8
258,Gueret,FR,46.1667,1.8667,53.6,62,0,5.75
259,Kodiak,US,57.79,-152.4072,41.0,93,90,14.97
260,Dafeng,CN,23.4517,108.5881,73.85,95,100,3.71
261,Olafsvik,IS,64.8945,-23.7142,42.12,84,100,6.53
262,Arbagar,RU,51.9438,116.2805,36.73,50,100,11.7
263,San Pedro,PH,14.35,121.0167,82.4,78,40,1.14
264,Tuatapere,NZ,-46.1333,167.6833,48.99,97,92,3.0
265,Henties Bay,NA,-22.116,14.2845,66.99,81,78,1.01
266,Rocha,UY,-34.4833,-54.3333,66.74,67,9,14.88
267,Nikolskoye,RU,59.7035,30.7861,36.0,93,75,2.24
268,Miramar,US,25.9873,-80.2323,81.0,74,75,8.05
269,Ilulissat,GL,69.2167,-51.1,26.6,54,7,6.91
270,Kenai,US,60.5544,-151.2583,51.8,53,1,11.5
271,Usinsk,RU,65.9939,57.5281,34.45,89,99,10.8
272,Asau,RO,46.4333,26.4,45.0,55,7,5.84
273,Cabuyaro,CO,4.2817,-72.794,92.32,38,38,7.05
274,Lobito,AO,-12.3481,13.5456,80.96,86,6,5.66
275,Praia,CV,14.9215,-23.5087,71.6,73,0,16.11
276,Sioux Lookout,CA,50.1001,-91.917,39.2,38,20,9.22
277,Mogadishu,SO,2.0371,45.3438,83.41,75,100,12.48
278,Port Alfred,ZA,-33.5906,26.891,70.61,81,69,12.24
279,Ngunguru,NZ,-35.6167,174.5,59.0,97,100,6.22
280,Astoria,US,46.1879,-123.8313,64.0,76,90,10.36
281,Pauini,BR,-7.7136,-66.9764,80.19,90,64,1.32
282,Sungaipenuh,ID,-2.0833,101.3833,64.56,96,100,0.81
283,Baniyas,SY,35.1819,35.9487,60.8,88,40,6.91
284,Kalmunai,LK,7.4167,81.8167,79.21,78,68,3.49
285,San-Pedro,CI,4.7485,-6.6363,82.24,80,20,9.01
286,Cayenne,GF,4.9333,-52.3333,82.4,78,75,8.05
287,Marck,FR,50.949,1.9433,45.0,79,8,4.0
288,Cabedelo,BR,-6.9811,-34.8339,80.6,83,0,6.91
289,Talara,PE,-4.5772,-81.2719,82.4,57,0,17.27
290,La Palma,US,33.8464,-118.0467,66.2,55,75,13.8
291,Keuruu,FI,62.2667,24.7,42.01,70,0,6.91
292,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,19.57
293,Synya,RU,65.3718,58.0387,37.89,84,90,7.74
294,Cabatuan,PH,10.8794,122.486,77.43,82,100,6.6
295,Lieksa,FI,63.3167,30.0167,34.12,99,100,2.98
296,Ayagoz,KZ,47.9714,80.4392,29.19,41,44,3.36
297,Merauke,ID,-8.4667,140.3333,76.46,92,98,5.37
298,Quelimane,MZ,-17.8786,36.8883,75.0,94,75,5.75
299,Vengerovo,RU,55.6848,76.7471,25.75,81,8,10.04
300,Pampa,US,35.5362,-100.9599,59.0,23,1,8.05
301,Vidim,RU,56.4088,103.1106,7.32,94,25,2.01
302,Kambove,CD,-10.8764,26.5969,60.01,93,90,3.8
303,Humaita,BR,-7.5061,-63.0208,80.83,85,35,2.91
304,Lakes Entrance,AU,-37.8811,147.981,44.01,88,72,9.08
305,Neuquen,AR,-38.9516,-68.0591,69.8,49,20,4.61
306,Altotonga,MX,19.7667,-97.2333,61.52,91,99,7.56
307,Viedma,AR,-40.8135,-62.9967,66.87,72,100,10.83
308,Shingu,JP,33.7333,135.9833,53.83,50,6,7.05
309,Maryborough,AU,-25.5333,152.7,64.99,96,18,5.01
310,Balikpapan,ID,-1.2675,116.8289,77.0,86,96,7.85
311,Vredendal,ZA,-31.6683,18.5012,62.01,70,19,2.24
312,Kavieng,PG,-2.5744,150.7967,80.6,78,100,6.73
313,Airai,TL,-8.9266,125.4092,57.13,94,54,2.04
314,Tura,IN,25.5198,90.2201,74.46,66,100,3.85
315,Murray Bridge,AU,-35.1167,139.2667,54.0,93,84,8.66
316,Nizwa,OM,22.9333,57.5333,79.34,22,0,3.0
317,Aleksandrovskoye,RU,44.7142,43.0008,48.2,87,75,2.24
318,Christchurch,NZ,-43.5333,172.6333,60.01,100,0,1.14
319,Kabanjahe,ID,3.1001,98.4908,77.0,100,40,3.44
320,Paita,PE,-5.0892,-81.1144,86.0,51,0,19.57
321,Constantine,DZ,36.365,6.6147,57.2,54,75,3.44
322,Shelburne,CA,44.0787,-80.2041,33.01,67,94,16.31
323,Westport,US,41.1415,-73.3579,51.01,100,90,15.32
324,Severo-Kurilsk,RU,50.6789,156.125,35.44,92,100,7.07
325,Kita,ML,13.0349,-9.4895,86.81,43,66,8.37
326,Cherskiy,RU,68.75,161.3,30.38,70,100,20.54
327,Constitucion,CL,-35.3333,-72.4167,57.33,95,99,13.22
328,Port Hedland,AU,-20.3167,118.5667,66.2,63,6,5.75
329,Chara,RU,56.9064,118.2631,12.22,85,100,6.82
330,San Juan,AR,-31.5375,-68.5364,63.27,51,77,15.23
331,Darhan,MN,49.4867,105.9228,27.54,54,41,12.1
332,Dehloran,IR,32.6941,47.2679,88.92,17,100,4.54
333,Koumac,NC,-20.5667,164.2833,76.39,84,72,7.61
334,Iqaluit,CA,63.7506,-68.5145,19.4,93,90,21.85
335,Rastolita,RO,46.9726,24.9929,43.0,81,11,2.04
336,Portland,US,45.5234,-122.6762,75.99,28,20,9.22
337,Deputatskiy,RU,69.3,139.9,5.34,92,100,4.97
338,Male,MV,4.1748,73.5089,84.2,79,75,11.5
339,Faanui,PF,-16.4833,-151.75,81.14,75,37,14.0
340,Orange Cove,US,36.6244,-119.3137,73.0,48,1,1.99
341,Beringovskiy,RU,63.05,179.3167,22.5,81,100,3.8
342,Fukue,JP,32.6881,128.8419,64.42,60,81,5.61
343,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,94,75,18.41
344,Esmeralda,CU,21.8525,-78.1169,86.0,62,75,17.27
345,Abnub,EG,27.2696,31.1511,78.8,34,0,17.27
346,Mocuba,MZ,-16.8392,36.9856,69.03,99,67,4.43
347,Sibolga,ID,1.7427,98.7792,76.03,88,90,2.55
348,Tres Arroyos,AR,-38.3739,-60.2798,69.62,60,40,15.57
349,Victor Harbor,AU,-35.5667,138.6167,57.0,85,36,12.33
350,Sibiti,CG,-3.6819,13.3499,69.91,98,91,2.33
351,Ponta Delgada,PT,37.7333,-25.6667,64.4,94,75,18.41
352,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.51,94,100,1.81
353,Hami,CN,42.8,93.45,64.27,27,99,7.85
354,Kondinskoye,RU,59.6481,67.41,32.56,77,11,6.53
355,Kushiro,JP,42.975,144.3747,35.46,71,22,24.85
356,Nanortalik,GL,60.1432,-45.2371,38.28,76,100,5.66
357,Tabou,CI,4.423,-7.3528,81.77,81,95,8.66
358,Khatassy,RU,61.9036,129.6383,5.0,72,0,2.24
359,Buraydah,SA,26.326,43.975,78.8,22,0,2.3
360,Andenes,NO,69.3143,16.1194,34.0,80,75,19.57
361,Medvezhyegorsk,RU,62.9167,34.4667,35.49,98,100,4.5
362,Ukiah,US,39.1502,-123.2078,80.6,21,1,9.22
363,San Andres,CO,12.5847,-81.7006,86.0,62,20,16.11
364,Brae,GB,60.3964,-1.353,42.8,70,90,10.36
365,Simplicio Mendes,BR,-7.8539,-41.9103,80.19,66,99,4.41
366,Cururupu,BR,-1.8283,-44.8683,75.29,94,87,2.48
367,Mao,ES,39.8885,4.2658,57.2,82,75,11.5
368,Marsabit,KE,2.3284,37.9899,69.71,67,100,13.4
369,Carutapera,BR,-1.195,-46.02,75.63,93,100,3.58
370,Lompoc,US,34.6391,-120.4579,55.99,71,27,9.22
371,Bachaquero,VE,9.9694,-71.1494,87.6,55,16,7.31
372,Ucluelet,CA,48.9329,-125.5528,53.01,93,75,5.75
373,Husavik,IS,66.0449,-17.3389,44.6,57,20,12.66
374,Coquimbo,CL,-29.9533,-71.3436,62.6,82,0,14.97
375,Erenhot,CN,43.6475,111.9767,54.45,79,100,6.04
376,De Aar,ZA,-30.6497,24.0123,64.98,32,11,5.32
377,Gushikawa,JP,26.3544,127.8686,71.6,83,90,12.66
378,Atambua,ID,-9.1061,124.8925,70.27,88,50,3.76
379,Grindavik,IS,63.8424,-22.4338,42.8,87,90,10.36
