City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
319,Kabanjahe,ID,77.0,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
333,Koumac,NC,76.39,-20.5667,164.2833,Le Monitel
336,Portland,US,75.99,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
345,Abnub,EG,78.8,27.2696,31.1511,Romany Adly Gad
347,Sibolga,ID,76.03,1.7427,98.7792,Hotel Syariah CN Darussalam
359,Buraydah,SA,78.8,26.326,43.975,فندق راحة السلام
366,Cururupu,BR,75.29,-1.8283,-44.8683,Pousada Través'cia
369,Carutapera,BR,75.63,-1.195,-46.02,Lidera
381,Teknaf,BD,77.18,20.8624,92.3058,Forestry Guesthouse
388,Denpasar,ID,77.0,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
400,Nabire,ID,76.17,-3.3667,135.4833,Hotel Nusantara Nabire
404,Oussouye,SN,77.0,12.485,-16.5469,Auberge du Routard
407,Urucara,BR,76.84,-2.5364,-57.76,Hotel japa
412,San Policarpo,PH,76.68,12.1791,125.5072,JM Lodge
415,Sabha,LY,77.81,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
417,Balabac,PH,79.9,7.9868,117.0645,Sing and Swing Lodge
430,Ha Tinh,VN,75.56,18.3333,105.9,Phú Quý
431,Pouembout,NC,75.36,-21.1333,164.9,Camping de Tipenga
435,Gurupi,BR,76.42,-11.7292,-49.0686,Via Norte Hotel
439,Poum,NC,77.02,-20.2333,164.0167,Gîte kajeon
462,Kloulklubed,PW,75.2,7.0419,134.2556,Storyboard Beach Resort
466,Satana,IN,78.01,20.5833,74.2,Krishna pawar_1217 जय टायगर ग्रुप
475,Valenca,BR,75.06,-13.3703,-39.0731,Hotel Galeão
478,Santa Catalina,PH,79.2,9.3337,122.8637,Don Pacondo
492,Saint George,US,79.0,37.1041,-113.5841,Best Western Plus Abbey Inn
494,Havelock,US,75.2,34.8791,-76.9013,Sherwood Motel
496,Kodinar,IN,78.64,20.7903,70.7031,Gayatri Auto advisor
500,Hong Gai,VN,78.8,20.956,107.0946,Hạ Long DC Hotel
527,Angoche,MZ,75.16,-16.2325,39.9086,Guest House HESADA
531,Nautla,MX,78.1,20.2167,-96.7833,Casa Blanca
534,Ardakan,IR,77.0,32.31,54.0175,Ardakan Hotel
545,Cockburn Town,TC,78.78,21.4612,-71.1419,Osprey Beach Hotel
566,Grand-Santi,GF,77.04,4.25,-54.3833,Hotel La Villa Couacou
567,Daru,PG,76.08,-9.0763,143.2092,Daru Lodge
573,Itarema,BR,78.37,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
579,Belmonte,BR,78.8,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
591,Namatanai,PG,78.49,-3.6667,152.4333,Namatanai Hotel
602,Kimbe,PG,77.2,-5.5502,150.1429,Kimbe Bay Hotel
605,Dingle,PH,77.74,10.9995,122.6711,SEGAYA PROPERTY
615,Martapura,ID,75.2,-3.4167,114.85,Montana Hotel Syariah
619,Pathein,MM,78.85,16.7833,94.7333,New Pammawaddy Hotel
624,Marawi,PH,75.0,7.9986,124.2928,Derogongan Residence
630,Maragogi,BR,78.89,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
637,Yenagoa,NG,79.93,4.9247,6.2642,Aridolf Resort Wellness and Spa
650,Quatre Cocos,MU,77.0,-20.2078,57.7625,Emeraude Beach Attitude Hotel
652,Wewak,PG,78.44,-3.5534,143.6268,In Wewak Boutique Hotel
654,Batticaloa,LK,79.9,7.7102,81.6924,Grand Star Guest House
655,Bontang,ID,77.11,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
660,Itupiranga,BR,76.84,-5.1347,-49.3267,Hotel Panorama
664,Brejo,BR,75.69,-3.6844,-42.7503,Hotel Santa Luzia
672,Roebourne,AU,77.9,-20.7833,117.1333,Harding River Caravan Park
681,Laguna,US,78.01,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
682,Caravelas,BR,76.21,-17.7125,-39.2481,Pousada dos Navegantes
685,Isagarh,IN,76.5,24.8333,77.8833,ACC Cement
